Date,Open,High,Low,Close,Adj Close,Volume,tickt
2017-04-17,169.75,171.300003,169.619995,171.100006,167.673172,3720200,IBM
2017-04-18,170.789993,171.690002,169.830002,170.050003,166.644196,6345500,IBM
2017-04-19,161.759995,162.639999,159.600006,161.690002,158.45163,19284300,IBM
2017-04-20,161.320007,162.399994,160.5,162.300003,159.049408,6486800,IBM
2017-04-21,162.050003,162.110001,160.380005,160.380005,157.167877,5607800,IBM
2017-04-24,161.289993,161.570007,160.419998,160.75,157.530457,5320600,IBM
2017-04-25,161.779999,162.039993,160.380005,160.389999,157.177658,4860400,IBM
2017-04-26,160.529999,161.100006,159.889999,160.059998,156.854263,4327800,IBM
2017-04-27,160.289993,160.479996,159.630005,160.320007,157.10907,4122600,IBM
2017-04-28,160.5,160.589996,159.699997,160.289993,157.079666,4154100,IBM
2017-05-01,160.050003,160.419998,158.699997,158.839996,155.658707,4935300,IBM
2017-05-02,159.440002,159.490005,158.639999,159.100006,155.913498,3208200,IBM
2017-05-03,158.740005,159.449997,158.520004,158.630005,155.452911,3993300,IBM
2017-05-04,158.889999,159.139999,158.360001,159.050003,155.864502,4280600,IBM
2017-05-05,153.520004,155.779999,153.0,155.050003,151.944611,12521300,IBM
2017-05-08,152.800003,153.470001,152.199997,153.029999,151.430054,7492000,IBM
2017-05-09,152.600006,153.100006,151.559998,152.110001,150.519669,6853000,IBM
2017-05-10,151.649994,152.369995,151.130005,151.25,149.668655,4999900,IBM
2017-05-11,151.050003,151.149994,149.789993,150.649994,149.074936,5627900,IBM
2017-05-12,150.300003,151.259995,150.0,150.369995,148.797852,3715300,IBM
2017-05-15,150.619995,151.830002,150.449997,151.509995,149.925934,4245500,IBM
2017-05-16,151.660004,153.990005,151.660004,153.679993,152.073242,5513700,IBM
2017-05-17,153.300003,154.139999,150.889999,150.929993,149.352005,5191500,IBM
2017-05-18,150.860001,151.330002,150.110001,150.779999,149.203568,3274200,IBM
2017-05-19,151.009995,152.460007,150.889999,151.979996,150.391022,5643000,IBM
2017-05-22,152.100006,152.839996,151.600006,152.639999,151.044128,3302100,IBM
2017-05-23,152.570007,153.679993,151.919998,152.029999,150.440506,2564500,IBM
2017-05-24,152.210007,152.759995,151.229996,152.509995,150.915482,3732400,IBM
2017-05-25,153.25,153.729996,152.949997,153.199997,151.598267,2582700,IBM
2017-05-26,152.850006,153.0,152.059998,152.490005,150.895706,2443300,IBM
2017-05-30,151.949997,152.669998,151.589996,151.729996,150.143646,3666000,IBM
2017-05-31,152.029999,152.800003,151.649994,152.630005,151.034241,3543400,IBM
2017-06-01,152.800003,152.869995,151.630005,152.669998,151.073807,2918100,IBM
2017-06-02,153.070007,153.199997,151.800003,152.050003,150.460297,3585700,IBM
2017-06-05,151.820007,152.929993,151.679993,152.410004,150.816544,3975100,IBM
2017-06-06,152.0,152.889999,152.0,152.369995,150.776947,3797200,IBM
2017-06-07,153.050003,154.199997,150.800003,150.979996,149.401474,4865700,IBM
2017-06-08,151.0,152.820007,150.919998,152.100006,150.509781,3709000,IBM
2017-06-09,152.0,154.259995,151.880005,154.100006,152.488876,4361500,IBM
2017-06-12,154.190002,157.199997,154.020004,155.179993,153.557571,6471500,IBM
2017-06-13,155.440002,155.479996,154.149994,154.25,152.637299,3523500,IBM
2017-06-14,153.970001,154.940002,152.940002,153.809998,152.201889,3049100,IBM
2017-06-15,153.289993,154.690002,153.289993,154.220001,152.607605,4654300,IBM
2017-06-16,154.229996,155.419998,152.970001,155.380005,153.755493,6742000,IBM
2017-06-19,155.509995,155.860001,154.539993,154.839996,153.22113,4629500,IBM
2017-06-20,154.479996,155.389999,154.25,154.949997,153.329971,4481700,IBM
2017-06-21,155.789993,155.789993,153.389999,153.789993,152.182098,3959700,IBM
2017-06-22,154.550003,154.990005,153.690002,154.399994,152.785721,2376500,IBM
2017-06-23,154.339996,154.679993,153.800003,154.110001,152.498764,3282200,IBM
2017-06-26,154.710007,155.75,154.630005,155.229996,153.60704,2153500,IBM
2017-06-27,155.0,155.339996,154.5,154.75,153.132065,2386500,IBM
2017-06-28,155.149994,155.550003,154.779999,155.320007,153.696121,2221000,IBM
2017-06-29,155.350006,155.740005,153.619995,154.130005,152.518555,3262200,IBM
2017-06-30,154.279999,154.5,153.139999,153.830002,152.221695,3571500,IBM
2017-07-03,153.580002,156.029999,153.520004,155.580002,153.9534,2822500,IBM
2017-07-05,155.770004,155.889999,153.630005,153.669998,152.063354,3564400,IBM
2017-07-06,153.360001,153.830002,152.229996,152.360001,150.767059,2735700,IBM
2017-07-07,152.619995,153.490005,152.139999,152.940002,151.340988,2460100,IBM
2017-07-10,152.910004,153.889999,152.630005,153.419998,151.815979,3206200,IBM
2017-07-11,153.259995,153.649994,152.050003,153.190002,151.588379,3447500,IBM
2017-07-12,153.479996,154.240005,153.050003,153.699997,152.093048,3097900,IBM
2017-07-13,153.699997,154.190002,153.190002,153.630005,152.023788,2476100,IBM
2017-07-14,154.009995,154.619995,153.399994,154.240005,152.627411,3256400,IBM
2017-07-17,153.589996,153.880005,152.240005,153.009995,151.410248,4762600,IBM
2017-07-18,152.360001,154.289993,152.0,154.0,152.389908,7566800,IBM
2017-07-19,150.020004,150.25,146.710007,147.529999,145.987549,14293600,IBM
2017-07-20,147.529999,148.830002,147.029999,147.660004,146.116196,7212200,IBM
2017-07-21,147.589996,147.869995,146.509995,147.080002,145.542267,6509500,IBM
2017-07-24,147.0,147.039993,145.800003,145.990005,144.463654,3877600,IBM
2017-07-25,146.570007,147.490005,146.029999,146.190002,144.66156,4208900,IBM
2017-07-26,146.270004,146.460007,144.470001,145.360001,143.84024,3932400,IBM
2017-07-27,145.0,145.399994,143.639999,145.070007,143.553284,6430800,IBM
2017-07-28,144.809998,145.039993,143.839996,144.289993,142.781418,3054800,IBM
2017-07-31,144.380005,144.929993,144.169998,144.669998,143.157455,4355700,IBM
2017-08-01,145.0,145.669998,144.720001,145.300003,143.780869,3219500,IBM
2017-08-02,145.119995,145.289993,144.220001,144.449997,142.939758,3540900,IBM
2017-08-03,144.429993,145.339996,144.429993,144.940002,143.424637,3035400,IBM
2017-08-04,145.0,145.389999,144.399994,145.160004,143.642334,2549400,IBM
2017-08-07,145.0,145.089996,142.75,143.470001,141.970001,4618300,IBM
2017-08-08,142.0,142.759995,142.0,142.110001,142.110001,3298700,IBM
2017-08-09,141.75,142.029999,141.190002,141.770004,141.770004,2925800,IBM
2017-08-10,141.639999,142.419998,141.229996,141.839996,141.839996,4525400,IBM
2017-08-11,142.449997,142.589996,141.520004,141.839996,141.839996,3004000,IBM
2017-08-14,142.0,142.759995,141.940002,142.320007,142.320007,2222300,IBM
2017-08-15,142.550003,143.339996,140.580002,142.070007,142.070007,4681500,IBM
2017-08-16,141.789993,142.910004,141.610001,142.5,142.5,3287800,IBM
2017-08-17,142.520004,142.889999,140.699997,140.699997,140.699997,4422100,IBM
2017-08-18,140.869995,141.149994,139.580002,139.699997,139.699997,4152700,IBM
2017-08-21,139.589996,140.419998,139.130005,140.330002,140.330002,3190700,IBM
2017-08-22,140.639999,141.149994,140.380005,141.009995,141.009995,2544400,IBM
2017-08-23,140.699997,143.050003,140.679993,142.139999,142.139999,4048300,IBM
2017-08-24,142.5,143.679993,142.25,142.940002,142.940002,3592200,IBM
2017-08-25,143.300003,144.190002,143.25,143.740005,143.740005,2872900,IBM
2017-08-28,144.110001,144.559998,142.389999,142.509995,142.509995,5134500,IBM
2017-08-29,142.100006,143.429993,141.899994,143.139999,143.139999,3009500,IBM
2017-08-30,143.259995,143.279999,142.410004,142.559998,142.559998,2736000,IBM
2017-08-31,143.020004,143.660004,142.630005,143.029999,143.029999,3656400,IBM
2017-09-01,142.979996,144.5,142.979996,144.080002,144.080002,3351700,IBM
2017-09-05,143.5,144.360001,142.699997,143.039993,143.039993,3097500,IBM
2017-09-06,143.880005,144.470001,143.5,143.820007,143.820007,3273300,IBM
2017-09-07,144.100006,144.639999,142.410004,142.899994,142.899994,4188200,IBM
2017-09-08,143.149994,143.149994,141.639999,142.449997,142.449997,3366200,IBM
2017-09-11,143.539993,145.130005,143.009995,144.860001,144.860001,4613400,IBM
2017-09-12,145.110001,146.369995,144.509995,145.759995,145.759995,5238100,IBM
2017-09-13,145.350006,146.289993,145.339996,145.990005,145.990005,4101000,IBM
2017-09-14,145.860001,146.380005,145.509995,145.539993,145.539993,3756900,IBM
2017-09-15,144.820007,145.169998,144.080002,144.820007,144.820007,7397200,IBM
2017-09-18,144.809998,145.479996,144.270004,144.550003,144.550003,3019500,IBM
2017-09-19,144.789993,144.979996,144.220001,144.389999,144.389999,3464400,IBM
2017-09-20,144.929993,145.880005,144.419998,145.880005,145.880005,5447500,IBM
2017-09-21,145.649994,145.889999,145.100006,145.259995,145.259995,2555600,IBM
2017-09-22,145.589996,145.589996,144.589996,145.130005,145.130005,2792300,IBM
2017-09-25,145.119995,146.029999,144.910004,145.869995,145.869995,5213100,IBM
2017-09-26,146.360001,147.419998,145.940002,146.559998,146.559998,4488600,IBM
2017-09-27,146.679993,146.899994,145.029999,145.660004,145.660004,3502700,IBM
2017-09-28,145.660004,145.860001,144.210007,145.660004,145.660004,2774800,IBM
2017-09-29,145.449997,145.690002,144.919998,145.080002,145.080002,2654700,IBM
2017-10-02,145.350006,146.869995,145.210007,146.660004,146.660004,2973200,IBM
2017-10-03,146.690002,147.199997,146.339996,146.779999,146.779999,2302700,IBM
2017-10-04,147.0,147.020004,146.110001,146.479996,146.479996,2244400,IBM
2017-10-05,146.679993,147.539993,146.479996,146.720001,146.720001,2686500,IBM
2017-10-06,146.639999,146.850006,146.320007,146.479996,146.479996,2623200,IBM
2017-10-09,146.5,147.789993,146.350006,147.389999,147.389999,2682600,IBM
2017-10-10,147.710007,148.949997,147.649994,148.5,148.5,4032600,IBM
2017-10-11,148.399994,148.470001,147.279999,147.619995,147.619995,3702200,IBM
2017-10-12,147.559998,147.889999,146.770004,147.029999,147.029999,3264300,IBM
